kw,kw2,kw3,n
population survival, surviva,,85
population sustainability,inabilit,,4
population synchrony,synchron,,32
population temporal stability,stabilit,,59
population trajectories,jectorie,s,12
population trajectory,rajector,,14
population trend estimate, estimat,,8
population trend estimation,stimatio,,56
population trends,on trend,s,3
population turnover, turnove,,45
population turnover rate,over rat,,3
population variability,riabilit,,81
population variation,variatio,,240
population viability,viabilit,,21
population viability analysis, analysi,s,397
population viability analysis (pva),sis (pva,,1
population viability assessment,ssessmen,,33
population viscosity,viscosit,,2
population yield,ion yiel,,1
population-based threshold model,old mode,,6
population-level differences,fference,s,30
population-level selection,selectio,,298
population-specific response, respons,,110
population-wide homozygosity,ozygosit,,8
"population, age/size-structured",tructure,,16
populational dynamics, dynamic,s,330
populational heritability,itabilit,,25
populus,populu,s,1
populus angustifolia,ustifoli,,7
populus balsamifera,lsamifer,,1
populus fremontii x p. angustifolia,ustifoli,,7
populus nigra,lus nigr,,1
populus overstory,overstor,,1
populus sp.,pulus sp,,1
populus tremuloides,emuloide,s,1
populus trichocarpa,ichocarp,,1
populus-fremontii,fremonti,,2
porcellio scaber,io scabe,,1
porcellio spp,ellio sp,,1
porcellionides pruinosus,pruinosu,s,3
pore-water,ore-wate,,1
pore-water chemistry,chemistr,,57
pore-water co2,water co,,1
pore-water o-2,water o-,,1
porewater salinity, salinit,,5
poricidal anthers,l anther,s,1
porifera,porifer,,1
porites,porite,s,1
porites astreoides,streoide,s,1
porolithon pachydermum,chydermu,,1
porophyllum,rophyllu,,3
port,por,,1
port orford cedar,ord ceda,,1
"port phillip bay, australia",australi,,36
portal,porta,,1
portfolio effect,io effec,,3
portugal,portuga,,1
poseidonamicus,donamicu,s,1
posidonia australis,australi,s,36
posidonia oceanica, oceanic,,1
positional behavior, behavio,,157
positionality,tionalit,,9
positioning,sitionin,,1
positive,positiv,,1
positive and negative associations,ociation,s,26
positive and negative control,e contro,,6
positive and negative effects,e effect,s,64
positive and negative interactions,eraction,s,323
positive and negative plant interactions,eraction,s,323
positive assortative mating,ve matin,,8
positive density dependence,ependenc,,86
positive feedback, feedbac,,36
positive feedback switch,ck switc,,1
positive frequency dependence,ependenc,,86
positive frequency-dependent selection,selectio,,298
positive interactions,eraction,s,323
positive plant interactions,eraction,s,323
positive plant-plant interactions,eraction,s,323
positive selection,selectio,,298
positive species interaction,teractio,,133
positive-biased interaction,teractio,,133
possion processes,processe,s,93
post dispersal mortality,mortalit,,122
post partum estrus,um estru,s,1
post-acquisitional traits,al trait,s,40
post-agricultural forests,l forest,s,18
post-agricultural succession,uccessio,,54
post-agriculture,ricultur,,23
post-dispersal,dispersa,,174
post-dispersal processes,processe,s,93
post-dispersal seed fate,seed fat,,3
post-disturbance species dynamics, dynamic,s,330
post-drought growth,ht growt,,4
post-eradication,adicatio,,3
post-fire,post-fir,,1
post-fire colonization,onizatio,,45
post-fire forest development,velopmen,,95
post-fire recruitment,cruitmen,,41
post-fire regeneration strategies,trategie,s,83
post-fledging,-fledgin,,1
post-fledging dispersal,dispersa,,174
post-fledging period,ng perio,,9
post-fledging survival, surviva,,85
post-glacial migration,migratio,,78
post-glacial recolonization,onizatio,,45
post-hurricane succession,uccessio,,54
post-ingestive feedback, feedbac,,36
post-juvenal molt,enal mol,,1
post-lactating survival, surviva,,85
post-logging recovery, recover,,36
post-metamorphic growth,ic growt,,14
post-pollination selection,selectio,,298
post-recruitment mortality,mortalit,,122
post-selection inference,inferenc,,17
post-settlement,ettlemen,,12
post-settlement mortality,mortalit,,122
post-settlement predation,predatio,,109
post-settlement processes,processe,s,93
post-settlement success,t succes,s,3
post-settlement survival, surviva,,85
postcolonialism,lonialis,,1
postconflict,tconflic,,1
postconflict behavior, behavio,,157
postcopulatory,opulator,,1
postcopulatory choice,ry choic,,3
postcopulatory female choice,le choic,,3
postcopulatory prezygotic barriers, barrier,s,18
postcopulatory reproductive traits,ve trait,s,14
postcopulatory sexual selection,selectio,,298
postcopulatory traits,ry trait,s,10
postdiapause development,velopmen,,95
postdiction of cycles,of cycle,s,1
postdispersal fate of large seeds,rge seed,s,2
postdispersal seed predation,predatio,,109
postdrift dispersal,dispersa,,174
postelsia palmaeformis,maeformi,s,1
postembryonic mortality,mortalit,,122
posterior lobe,rior lob,,1
posterior predictive checks,ve check,s,1
posterior predictive p-value,e p-valu,,1
postfire forest change,st chang,,2
postfire recovery, recover,,36
postfire regeneration,eneratio,,39
"postfire regeneration, pines","on, pine",s,1
postfire resprouting,sproutin,,8
postfire succession,uccessio,,54
postglacial,stglacia,,1
postglacial differentiation,entiatio,,40
postglacial dispersal,dispersa,,174
postglacial dynamics, dynamic,s,330
postglacial evolution,evolutio,,298
postglacial expansion,expansio,,27
postglacial lakes,ial lake,s,1
postglacial spread,al sprea,,5
postglacial tree migration,migratio,,78
postlarval movement, movemen,,46
postmating,ostmatin,,1
postmating barriers, barrier,s,18
postmating isolation,isolatio,,55
postmating prezygotic isolation,isolatio,,55
postmating sexual selection,selectio,,298
postmating-prezygotic barriers, barrier,s,18
postnatal conditions,ondition,s,33
postnatal development,velopmen,,95
postnatal dispersal,dispersa,,174
postnatal effects,l effect,s,42
postnatal growth,al growt,,19
postnesting recaptures,ecapture,s,1
postpairing,stpairin,,1
postpollination events,on event,s,4
postpollination isolation,isolatio,,55
postponed effects,d effect,s,18
postprandial thermophily,ermophil,,2
postzygotic,stzygoti,,1
postzygotic incompatibility,atibilit,,42
postzygotic isolation,isolatio,,55
postzygotic isolation asymmetry,asymmetr,,22
postzygotic reproductive isolation,isolatio,,55
pot partitions,artition,s,2
potamodromy,tamodrom,,1
potamogeton pectinatus,ectinatu,s,1
potamogeton pectinatus l.,inatus l,,1
potamogeton perfoliatus,rfoliatu,s,1
potamonautes,amonaute,s,1
potamonautid crabs,tid crab,s,1
potamopyrgus antipodarum,tipodaru,,1
potassium,potassiu,,1
potassium acetate,m acetat,,1
potassium. rain forest,in fores,,48
potato virus y,o virus ,,1
potential distribution,tributio,,232
potential distribution models,on model,s,35
potential evaporation,aporatio,,3
potential evapotranspiration,spiratio,,29
potential for selection,selectio,,298
potential height,al heigh,,4
potential mineralization,alizatio,,101
potential prey vs nonprey species,y specie,s,16
potential productivity,ductivit,,69
potential range,ial rang,,1
potential reproductive rate,tive rat,,3
potential resorption,esorptio,,7
potential seed crop,seed cro,,2
potential transpiration,spiratio,,29
potential-prey-site hypothesis,ypothesi,s,335
potentially,tentiall,,1
potentials,otential,s,3
potentiatior,entiatio,,40
potentilla,otentill,,1
potentilla anserina, anserin,,2
potentilla crantzii, crantzi,,1
potentilla egedii,la egedi,,1
potentilla gracilis, gracili,s,5
potentilla hippiana, hippian,,1
potentilla pulcherrima,lcherrim,,1
potentilla recta,lla rect,,1
potentilla reptans,a reptan,s,2
poterioochromonas,chromona,s,2
potoroidae,otoroida,,1
potos flavus,os flavu,s,1
pouch,pouc,,1
pouched mouse,hed mous,,1
poulins increasing variance hypothesis,ypothesi,s,335
poulsenia armata,ia armat,,1
poultry disease,y diseas,,3
pourouma bicolor,a bicolo,,6
pourouma-aspera,ma-asper,,1
pouteria caimito,a caimit,,1
pouteria reticulata,eticulat,,4
pouteria sp.,teria sp,,1
pouteria splendens,splenden,s,5
pouteria torta,ria tort,,1
poverty,povert,,1
poverty alleviation,leviatio,,2
powdery mildew,ry milde,,2
power,powe,,1
power analysis, analysi,s,397
power and sensitivity analysis, analysi,s,397
power curve,wer curv,,1
power dissipation index,ion inde,,31
power enterprises,terprise,s,1
power function, functio,,101
power law,power la,,3
power lines,wer line,s,1
power of test,r of tes,,1
power shape and size, and siz,,3
power spectra,r spectr,,1
power spectrum, spectru,,22
power test,ower tes,,1
power transformation,formatio,,69
power-efficiency relationship,ationshi,,86
power-law model,law mode,,1
power-law scaling,w scalin,,1
power-line clearing affects potential nest sites,est site,s,1
powered flight,ed fligh,,1
ppa modelling,modellin,,45
ppfd,ppf,,1
ppo,pp,,2
ppv,pp,,2
pr-1 gene expression,xpressio,,21
practitioners,titioner,s,2
pradel model,del mode,,1
pradels reverse-time model,ime mode,,4
pradels temporal symmetry cmr model,cmr mode,,1
pradosia cochlearia,ochleari,,2
praia islet,aia isle,,1
prairie,prairi,,1
prairie dog,airie do,,2
prairie ducks,rie duck,s,1
prairie ecology,e ecolog,,41
prairie food web, food we,,30
prairie grasses,e grasse,s,3
prairie grassland,grasslan,,47
prairie plant community,communit,,120
prairie pothole region,le regio,,1
prairie potholes, pothole,s,1
"prairie remnants, western minnesota, usa","sota, us",,8
prairie restoration,storatio,,38
prairie vole,irie vol,,1
prairie votes,rie vote,s,1
prairie-forest border,st borde,,1
prairie-forest ecotone,t ecoton,,1
praon pequodorum,equodoru,,1
prawn,praw,,1
prawn ecology,n ecolog,,40
prawns,prawn,s,1
praying mantids,g mantid,s,1
pre- and postsettlement processes,processe,s,93
pre- and postzygotic effects,c effect,s,42
pre-adult viability,viabilit,,21
pre-breeding season,ng seaso,,11
pre-colonial forests,l forest,s,18
pre-columbian,columbia,,1
pre-columbian settlements,ttlement,s,2
pre-dispersal and post-dispersal seed predation,predatio,,109
pre-dispersal seed consumption,nsumptio,,25
predispersal seed predator, predato,,28
pre-emptive competition,mpetitio,,174
pre-euroamerican settlement,ettlemen,,12
pre-european-settlement forests,t forest,s,7
pre-fledging survival, surviva,,85
pre-hurricane frugivory,frugivor,,5
pre-impoundment,poundmen,,1
pre-industrial forests,l forest,s,18
pre-monsoon season,on seaso,,1
pre-settlement forests,t forest,s,7
pre&#8208,pre&#820,,1
preadaptation,daptatio,,86
preadaptation hypothesis,ypothesi,s,335
preadaption,eadaptio,,1
preadult experience,xperienc,,9
preadult mortality,mortalit,,122
preaptation,eaptatio,,1
prebreeding behaviour,behaviou,,43
precambrian,ecambria,,1
precambrian shield lakes,eld lake,s,2
precedence,recedenc,,4
precipitation,ipitatio,,9
precipitation and grasslands anpp,ands anp,,1
precipitation change,on chang,,11
precipitation chemistry,chemistr,,57
precipitation effects,n effect,s,28
precipitation effects on reproduction,roductio,,212
precipitation effects on resources,resource,s,35
precipitation extreme,n extrem,,1
precipitation gradient, gradien,,111
precipitation heterogeneity,rogeneit,,73
precipitation increase, increas,,13
precipitation intensity,intensit,,35
precipitation legacies, legacie,s,6
precipitation manipulation,ipulatio,,47
precipitation manipulation experiment,xperimen,,142
precipitation marginal response, respons,,110
precipitation predictability,ctabilit,,16
precipitation pulses,on pulse,s,1
precipitation reduction,reductio,,33
precipitation regime,on regim,,2
precipitation seasonality,asonalit,,18
precipitation timing,on timin,,4
precipitation variability,riabilit,,81
precipitation variation,variatio,,240
precipitation-use efficiency,fficienc,,85
precision,precisio,,3
precocial birds,ial bird,s,4
precocial chick,ial chic,,2
precocial species,l specie,s,24
precondition,conditio,,29
precopulatory sexual selection,selectio,,298
precopulatory traits,ry trait,s,10
precursor impacts,r impact,s,3
predaceous,redaceou,s,1
predaceous arthropods,rthropod,s,18
predaceous diving beetle,ng beetl,,4
predalor state,lor stat,,1
predation,predatio,,109
predation and predation risk,tion ris,,15
predation avoidance,avoidanc,,34
predation behavior, behavio,,157
predation cost,tion cos,,5
predation cues,tion cue,s,3
predation cycle,ion cycl,,9
predation enhancement,hancemen,,12
predation experiments,periment,s,55
predation frequency,frequenc,,32
predation gradient, gradien,,111
predation hypothesis for population cycles,on cycle,s,8
predation impact,on impac,,2
predation intensity,intensit,,35
predation kinetics, kinetic,s,7
predation manipulation,ipulatio,,47
predation models,on model,s,35
predation on adults and nests,and nest,s,1
predation pressure, pressur,,21
predation rate,tion rat,,57
predation refuge,on refug,,3
predation resistance,esistanc,,97
predation risk,tion ris,,15
predation risk and responses,response,s,36
predation risk enhancement or reduction,reductio,,33
predation risk landscape,landscap,,42
predation risk model,isk mode,,1
predation risk perception,erceptio,,14
"predation risk, energetic costs",tic cost,s,4
"predation risk, relative", relativ,,2
predation sequence, sequenc,,13
predation strategy, strateg,,107
predation stress,on stres,s,1
predation suppression,ppressio,,21
predation threat,on threa,,1
predation-risk gradients,gradient,s,36
predation-risk hypothesis,ypothesi,s,335
predation-starvation trade-off,trade-of,,73
"predation, direct and indirect effects of",ffects o,,2
"predation, of seeds", of seed,s,4
"predation, role in population cycles",on cycle,s,8
"predation, size selective",selectiv,,2
predation&#8208,ion&#820,,3
predator,predato,,1
predator:prey ratio,rey rati,,1
predator aggregation,gregatio,,54
predator and prey traits,ey trait,s,3
predator assemblages,semblage,s,31
predator avoidance,avoidanc,,34
predator avoidance behavior, behavio,,157
predator behavior, behavio,,157
predator bioenergetics,nergetic,s,22
predator body size vs prey size,prey siz,,3
predator coexistence,existenc,,40
predator cognition,cognitio,,35
predator community,communit,,120
predator compensation,pensatio,,37
predator complex,r comple,,3
predator consumptive effects,e effect,s,64
predator control of carbon dynamics, dynamic,s,330
predator cue,dator cu,,1
predator damping,r dampin,,1
predator defense,r defens,,3
predator density,r densit,,7
predator dependence,ependenc,,86
predator dependent,dependen,,24
predator depletion,depletio,,18
predator detection,detectio,,20
predator diet,ator die,,1
predator diet breadth,t breadt,,3
predator dilution, dilutio,,12
predator distribution,tributio,,232
predator disturbance of prey,e of pre,,1
predator diversity,diversit,,255
predator effects,r effect,s,22
predator effects in streams,n stream,s,10
predator effects on prey population,opulatio,,62
predator enhancement,hancemen,,12
predator ensembles,ensemble,s,2
predator escape,or escap,,1
predator exclosures,xclosure,s,5
predator exclusion,exclusio,,20
predator exclusion experiment,xperimen,,142
predator extinction,xtinctio,,41
predator facilitation,ilitatio,,31
predator fond,ator fon,,1
predator functional response, respons,,110
predator generalization,alizatio,,101
predator guilds,or guild,s,2
predator hunting mode,ting mod,,2
predator identification,ificatio,,174
predator identity, identit,,16
predator impact,or impac,,2
predator impact webs,pact web,s,1
predator indirect effects,t effect,s,37
predator induction,inductio,,15
predator infection status,on statu,s,3
predator inspection,nspectio,,1
predator interference,erferenc,,34
predator invasion, invasio,,38
predator isocline, isoclin,,2
predator kairomones,airomone,s,3
predator kill rates,ill rate,s,2
predator limitation,imitatio,,105
predator load,ator loa,,1
predator loss,ator los,s,3
predator mediated, mediate,,5
predator mediated interactions,eraction,s,323
predator movement, movemen,,46
predator nutrition,nutritio,,20
predator ontogeny, ontogen,,9
predator performance,rformanc,,60
predator persistence,rsistenc,,30
predator pit,dator pi,,1
predator preference,referenc,,57
predator pressure, pressur,,21
predator prey,ator pre,,1
predator prey dynamics, dynamic,s,330
predator prey interactions,eraction,s,323
predator prey model,rey mode,,2
predator prey relationships,tionship,s,76
predator prey system,ey syste,,3
predator prey theory,ey theor,,1
predator psychology,sycholog,,4
predator recognition,cognitio,,35
predator recovery, recover,,36
predator recruitment,cruitmen,,41
predator reduction,reductio,,33
predator reintroduction,roductio,,212
predator removal,r remova,,7
predator removal experiment,xperimen,,142
predator response, respons,,110
predator satiation,satiatio,,5
predator satiation hypothesis,ypothesi,s,335
predator saturation,aturatio,,28
predator selection,selectio,,298
predator size,ator siz,,2
predator size and habitat use,bitat us,,7
predator size relative to prey size,prey siz,,3
predator species,r specie,s,16
predator stress,or stres,s,1
predator switching,switchin,,14
predator traits,or trait,s,3
predator-consumer relationships,tionship,s,76
predator-dependent functional response, respons,,110
predator-derived traits,ed trait,s,12
predator-dominated ecosystems,cosystem,s,59
predator-exclosure experiment,xperimen,,142
predator-induced,r-induce,,1
predator-induced changes,d change,s,2
predator-induced dispersal,dispersa,,174
predator-induced habitat selection,selectio,,298
predator-induced plasticity,lasticit,,75
predator-induced stress,ed stres,s,4
predator-induced stress response, respons,,110
predator-induced variation,variatio,,240
predator-mediated coexistence,existenc,,40
predator-mediated effect,ed effec,,4
predator-mediated resource partitioning,titionin,,53
predator-mediated selection,selectio,,298
predator-multi-prey behavioural game,ural gam,,1
predator-pathogen complementarity,mentarit,,15
predator-permanence gradient, gradien,,111
predator-predator interactions,eraction,s,323
predator-predator relationships,tionship,s,76
predator-prey associations,ociation,s,26
predator-prey behavioral game,oral gam,,1
predator-prey coevolution,evolutio,,298
predator-prey cycles,ey cycle,s,2
predator-prey cycles and interactions,eraction,s,323
predator-prey demography,emograph,,56
predator-prey ecology,y ecolog,,22
predator-prey foraging games,ing game,s,2
predator-prey games,rey game,s,1
predator-prey links,rey link,s,1
predator-prey mass ratio,ass rati,,5
predator-prey network,y networ,,6
predator-prey oscillations,illation,s,5
predator-prey population dynamics, dynamic,s,330
predator-prey ratios,ey ratio,s,1
predator-prey response race,onse rac,,2
predator-prey size ratio,ize rati,,3
predator-prey spatial game,tial gam,,2
"predator-prey systems, stability",stabilit,,59
predator-released kairomones,airomone,s,3
predator-removal experiments,periment,s,55
predator-risk effects,k effect,s,4
predator-safe refugia,e refugi,,6
predator-sensitive foraging, foragin,,49
predator-specific defense,c defens,,1
predator-specific patterns, pattern,s,106
predator-specific responses,response,s,36
predator-vole ratio,ole rati,,1
predator&#8208,tor&#820,,2
predator&#8211,tor&#821,,2
predators and,ators an,,1
predators and herbivores,erbivore,s,33
"predators, mutual interference effects",e effect,s,64
"predators, specialists vs. generalists",neralist,s,4
predatory arthropods,rthropod,s,18
predatory beetles,y beetle,s,2
predatory birds,ory bird,s,6
predatory flatworm, flatwor,,1
predatory function, functio,,101
predatory interactions,eraction,s,323
predatory invertebrates,rtebrate,s,40
predatory midge,ory midg,,1
predatory mites,ory mite,s,1
predatory stoneflies,toneflie,s,2
predawn leaf water potential,potentia,,41
predawn water potential,potentia,,41
predictability,ctabilit,,16
predictability decreases over time,over tim,,3
predictability of environmental change,al chang,,27
predictability of territory quality,y qualit,,5
predictability of tropical seasons,l season,s,3
predictability patterns, pattern,s,106
predicted changes in individual state variables,variable,s,23
predicted grey mortality,mortalit,,122
predicting,redictin,,1
predicting ecophysiological responses,response,s,36
predicting invasibility,asibilit,,9
prediction,redictio,,12
prediction algorithm,algorith,,17
prediction uncertainty,certaint,,20
predictive,redictiv,,1
predictive ability,e abilit,,7
predictive adaptive response, respons,,110
predictive ecology,e ecolog,,41
predictive germination,rminatio,,37
predictive modeling, modelin,,95
predictive models,ve model,s,7
predictive posterior distribution,tributio,,232
predictive power,ive powe,,1
predictive power of resource-based models,ed model,s,18
predictive trait analysis, analysi,s,397
predictive vegetation mapping,n mappin,,3
predispersal,dispersa,,174
predispersal seed mortality,mortalit,,122
predispersal seed predation,predatio,,109
predispersal stage,sal stag,,2
predisposal,edisposa,,1
predisposition,spositio,,1
preemption,reemptio,,2
preen gland,een glan,,1
preening,preenin,,1
preequilibrium,uilibriu,,30
preexisting bias,ting bia,s,3
preexisting biases,ng biase,s,2
preference,referenc,,57
preference and performance,rformanc,,60
preference divergence,ivergenc,,55
preference function, functio,,101
preference hierarchy,hierarch,,22
preference index,nce inde,,8
preference induction,inductio,,15
preference strength, strengt,,24
preference variation,variatio,,240
preference vs. performance,rformanc,,60
preference-performance,rformanc,,60
preference-performance linkage,e linkag,,1
preference-performance relationship,ationshi,,86
preferencia de hospedero,hospeder,,1
preferential attachment,ttachmen,,2
preferential digestion of mitochondria,ochondri,,3
preferential fertilization,ilizatio,,75
preferential mating,al matin,,2
preferred body temperature,mperatur,,65
preferred speeds,ed speed,s,1
preformation,formatio,,69
pregeijerene,geijeren,,1
pregnancy,pregnanc,,1
prehistoric,ehistori,,1
prehistoric agriculture,ricultur,,23
prehistoric baselines,baseline,s,5
prehistoric settlements,ttlement,s,2
premating barriers, barrier,s,18
premating isolating barrier,g barrie,,2
premating isolation,isolatio,,55
premating isolation mechanisms,echanism,s,44
premating reproductive isolation,isolatio,,55
premating sexual communication,unicatio,,24
premaxilla,remaxill,,1
premedical curriculum,urriculu,,1
premeiotic doubling, doublin,,1
premontane,remontan,,1
premontane forest,ne fores,,20
"prenanthes roanensis, roan mountain rattlesnake-root",nake-roo,,1
prenatal development,velopmen,,95
prenatal effects,l effect,s,42
prenatal infection,infectio,,37
prenatal sex ratio,sex rati,,20
prenatal stress,al stres,s,14
prephenate dehydrogenase,drogenas,,5
prepollination isolation,isolatio,,55
preponderant clonal evolution,evolutio,,298
prequential,equentia,,2
prereproductive selection,selectio,,298
presaturation dispersal,dispersa,,174
prescottia stachyodes,tachyode,s,1
prescribed burn,ibed bur,,1
prescribed burning,d burnin,,4
prescribed fire,ibed fir,,1
presence,presenc,,1
presence probability,obabilit,,34
presence-absence,e-absenc,,1
presence-absence data,ence dat,,6
presence-absence elata,nce elat,,1
presence-absence map,sence ma,,1
presence-absence matrices, matrice,s,22
presence-absence matrix,ce matri,,11
presence-background,ackgroun,,4
presence-only,ence-onl,,1
presence-only data,only dat,,2
presence-only model,nly mode,,2
presence&#8208,nce&#820,,2
presence&#8211,nce&#821,,2
present natural,t natura,,1
preservation,servatio,,81
preserved rna,erved rn,,1
presettlement,ettlemen,,12
presettlement vs postsettlement vegetation,egetatio,,72
press,pres,s,1
press drought,s drough,,1
press experiment,xperimen,,142
press perturbation,turbatio,,14
press perturbation experiment,xperimen,,142
pressure-volume curves,me curve,s,1
prestoea,prestoe,,1
prestoea acuminata,acuminat,,5
prestoea acuminata var. montana,. montan,,1
prestoea montana,a montan,,5
prestoea schultzeana,hultzean,,1
preston,presto,,1
preston canonical hypothesis,ypothesi,s,335
pretty good yield,ood yiel,,1
prevailing winds,ing wind,s,1
prevalence,revalenc,,12
prey,pre,,1
prey abundance,abundanc,,78
prey aggregation,gregatio,,54
prey and predator, predato,,28
prey attractant,ttractan,,3
prey availability,ilabilit,,71
prey behavior, behavio,,157
prey capture,y captur,,1
prey capture performance,rformanc,,60
prey capture trade-offs,rade-off,s,38
prey catchability,chabilit,,3
prey characteristics,teristic,s,30
prey choice,ey choic,,1
prey cognition,cognitio,,35
prey communities,mmunitie,s,153
prey community,communit,,120
prey consumption,nsumptio,,25
prey decoy,rey deco,,1
prey defenses, defense,s,20
prey density,y densit,,7
prey density vs predator interaction,teractio,,133
prey dependence,ependenc,,86
prey dependence vs. ratio dependence,ependenc,,86
prey dependent,dependen,,24
prey depletion,depletio,,18
prey depression,epressio,,17
prey detection,detectio,,20
prey digestibility,stibilit,,3
prey distribution,tributio,,232
prey diversity,diversit,,255
prey dynamics, dynamic,s,330
prey encounter,encounte,,3
prey exploitation,loitatio,,20
prey fish,prey fis,,1
prey flux,prey flu,,1
prey habitat shifts,at shift,s,2
prey handling, handlin,,5
prey heterogeneity,rogeneit,,73
prey ingestion,ingestio,,5
prey interactions,eraction,s,323
prey movements,movement,s,12
prey naivety,y naivet,,1
prey nutrition,nutritio,,20
prey patches,y patche,s,1
prey patchiness,atchines,s,13
prey population density threshold,threshol,,31
prey population growth,on growt,,15
prey preference,referenc,,57
prey preservation,servatio,,81
prey profitability,itabilit,,25
prey quality,y qualit,,5
prey refuges,y refuge,s,1
prey refuges and predation,predatio,,109
prey rejection,rejectio,,4
prey release,y releas,,3
prey removal,y remova,,1
prey response, respons,,110
prey richness, richnes,s,85
prey searching,searchin,,6
prey selection,selectio,,298
prey size,prey siz,,3
prey size refuge,ze refug,,2
prey size selection,selectio,,298
prey size structure,structur,,198
prey specialization,alizatio,,101
prey species behavior, behavio,,157
prey specificity,ecificit,,27
prey state,rey stat,,1
prey strategy, strateg,,107
prey suppression,ppressio,,21
prey switching,switchin,,14
prey taken vs gape size and biting force,ing forc,,1
prey traits,ey trait,s,3
prey type,prey typ,,1
prey vigilance,vigilanc,,4
prey vulnerability,erabilit,,17
prey-dependent model,ent mode,,21
prey-dependent vs. ratio-dependent,dependen,,24
prey-mediated,-mediate,,2
prey-predator,-predato,,2
prey-predator interaction,teractio,,133
prey-predator ratio,tor rati,,1
prey-predator size relationships,tionship,s,76
prey-predator system,or syste,,3
prey-shifting,-shiftin,,1
prey-switching model,ing mode,,10
"prey, multiple", multipl,,2
prezygotic,rezygoti,,1
prezygotic isolating mechanism,mechanis,,24
prezygotic isolation,isolatio,,55
prezygotic reproductive isolation,isolatio,,55
prezygotic selection,selectio,,298
price equation, equatio,,31
price equation partition,partitio,,7
prices theorem,s theore,,4
prickles,prickle,s,1
prickly pear,ckly pea,,1
primary,primar,,1
primary and secondary forests,y forest,s,2
primary and secondary in action,in actio,,1
primary and secondary infection,infectio,,37
primary and secondary schools,y school,s,1
primary and secondary seed dispersal,dispersa,,174
primary and secondary succession,uccessio,,54
primary case,mary cas,,1
primary consumers,consumer,s,10
primary consumption,nsumptio,,25
primary contact,y contac,,2
primary defences, defence,s,12
primary forest,ry fores,,19
primary forest species,t specie,s,44
primary functional groups,al group,s,11
primary habitat,y habita,,6
primary hemiepiphyte,iepiphyt,,2
primary parasitoid,arasitoi,,17
primary producer biomass,r biomas,s,4
primary producer-decomposer interactions,eraction,s,323
primary producers,producer,s,2
primary production,roductio,,212
primary productivity,ductivit,,69
"primary productivity, factors controlling",ntrollin,,1
primary rainforest,ainfores,,5
primary seed dispersal,dispersa,,174
primary sex ratio,sex rati,,20
primary succession,uccessio,,54
primary tropical forest,al fores,,41
primary tropical rain forest,in fores,,48
primary woodland, woodlan,,24
primary xylovory, xylovor,,1
primate,primat,,1
primate behavior, behavio,,157
primate behavioral ecology,l ecolog,,48
primate biogeography,geograph,,41
primate biomass,e biomas,s,7
primate brain evolution,evolutio,,298
primate communities,mmunitie,s,153
primate community,communit,,120
primate conservation,servatio,,81
primate density,e densit,,11
primate dispersal,dispersa,,174
primate population dynamics, dynamic,s,330
primate populations,pulation,s,93
primate predation,predatio,,109
primate seed dispersal,dispersa,,174
primate species richness, richnes,s,85
primate-fruit,ate-frui,,1
prime numbers,e number,s,3
primeval beech forest,ch fores,,5
primeval forest structure,structur,,198
primeval forests,l forest,s,18
priming,primin,,1
priming effect,ng effec,,19
priming response, respons,,110
primiparity,imiparit,,2
primitive eusociality,socialit,,12
primolius couloni,s coulon,,1
primula,primul,,1
primula elatior,a elatio,,1
primula farinosa, farinos,,1
primula modesta,a modest,,2
primula section,a sectio,,1
primula sieboldii,sieboldi,,1
primula veris,ula veri,s,1
primulaceae,imulacea,,1
prince albert national park,onal par,,79
"prince albert national park, saskatchewan, canada","n, canad",,2
"prince william sound, alaska","d, alask",,1
principal components,omponent,s,23
principal components analysis, analysi,s,397
principal components regression,egressio,,92
principal coordinate analysis, analysi,s,397
principal coordinate of neighborhood matrices (pcnm),es (pcnm,,2
principal coordinates analysis of neighbour matrices, matrice,s,22
principal coordinates of neighbor matrices, matrice,s,22
principal coordinates of neighbor matrices (pcnm),es (pcnm,,2
principal coordinates of neighborhood matrix,od matri,,1
principal coordinates of phylogenetic structure,structur,,198
principal curves,al curve,s,3
principal host,ipal hos,,1
principal response curves,se curve,s,4
principal-component analysis, analysi,s,397
principle of transfer, transfe,,32
priodontes maximus,s maximu,s,3
prionotropis hystrix rhodanica,rhodanic,,1
prior,prio,,1
prior conceptions,nception,s,1
prior distribution,tributio,,232
prior grazing,r grazin,,1
prior information,formatio,,69
prior occupancy,occupanc,,17
prior ownership,ownershi,,2
prior residence,residenc,,5
prior selfing,r selfin,,1
prior-residence advantage,advantag,,25
prior-residence effect,ce effec,,7
prioria copaifera,copaifer,,1
priorities,rioritie,s,2
prioritization,itizatio,,5
priority effects,y effect,s,26
priority rules,ity rule,s,1
priors,prior,s,1
prism,pris,,1
prisoners dilemma,s dilemm,,4
pristionchus pacificus,pacificu,s,3
pritchardia hillebrandii,lebrandi,,1
pritchardia kaalae,ia kaala,,1
private alleles,e allele,s,2
private communication,unicatio,,24
private communication channel,n channe,,1
private experiences,perience,s,1
private information,formatio,,69
private reserve,e reserv,,36
pro-ovigeny,o-ovigen,,1
proactive avoidance,avoidanc,,34
proactivity,oactivit,,1
probabilistic approach, approac,,32
probabilistic estimators,stimator,s,12
probabilistic extinction model,ion mode,,86
probabilistic maturation reaction norms,ion norm,s,4
probabilistic model,tic mode,,16
probabilistic phylogenetic models,ic model,s,16
probabilistic reaction norm,tion nor,,6
